File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biosample Age	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF000IZE	bam	alignments	ENCSR000CQV	RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens		cytosol					RNA	rRNA	see document	see document		2012-02-22	ENCODE		see document	<200		1	1						ENCFF000IZS	1372341511	Thomas Gingeras, CSHL	32e18ca6acd794dbbb9ce8cc1f986f10	https://www.encodeproject.org/files/ENCFF000IZE/@@download/ENCFF000IZE.bam	hg19			released				
ENCFF000IZF	bam	alignments	ENCSR000CQV	RNA-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens		cytosol					RNA	rRNA	see document	see document		2012-02-22	ENCODE		see document	<200		2	1						ENCFF000IZR	1907655903	Thomas Gingeras, CSHL	e41f8dd0aaf9c019f6f1f055c8ea9952	https://www.encodeproject.org/files/ENCFF000IZF/@@download/ENCFF000IZF.bam	hg19			released				
ENCFF000WFL	bam	alignments	ENCSR000EUL	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					NR2C2-human	ENCAB000AMA	DNA		see document	see document		2011-10-29	ENCODE		see document			1	1							995044593	Peggy Farnham, USC	b91dcf11ea16d71c0a80ee76010bd4ce	https://www.encodeproject.org/files/ENCFF000WFL/@@download/ENCFF000WFL.bam	hg19			released				
ENCFF000WFM	bam	alignments	ENCSR000EUL	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					NR2C2-human	ENCAB000AMA	DNA		see document	see document		2011-10-29	ENCODE		see document			2	1							1254160660	Peggy Farnham, USC	3236ffaaff5e5c719444d8c107ca5c77	https://www.encodeproject.org/files/ENCFF000WFM/@@download/ENCFF000WFM.bam	hg19			released				
ENCFF000ARG	bam	alignments	ENCSR000AKB	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					CTCF-human	ENCAB000AXY	DNA		see document	see document		2011-02-10	ENCODE		see document			1	1							484522410	Bradley Bernstein, Broad	881c311f387465059bace19e517bf47c	https://www.encodeproject.org/files/ENCFF000ARG/@@download/ENCFF000ARG.bam	hg19			released	mixed read lengths			
ENCFF000ARI	bam	alignments	ENCSR000AKB	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					CTCF-human	ENCAB000AXY	DNA		see document	see document		2011-02-10	ENCODE		see document			2	1							945607244	Bradley Bernstein, Broad	d53da79ce1f1927b77a938288b758180	https://www.encodeproject.org/files/ENCFF000ARI/@@download/ENCFF000ARI.bam	hg19			released	mixed read lengths			
ENCFF000NSJ	bam	alignments	ENCSR000BGT	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					BATF-human	ENCAB000AED	DNA		see document	see document		2011-07-18	ENCODE		see document			1	1							856756292	Richard Myers, HAIB	0e6303469c9cb86a61f1814c21c69cb9	https://www.encodeproject.org/files/ENCFF000NSJ/@@download/ENCFF000NSJ.bam	hg19			released		biological replicates with identical biosample		
ENCFF000NSN	bam	alignments	ENCSR000BGT	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					BATF-human	ENCAB000AED	DNA		see document	see document		2011-07-18	ENCODE		see document			2	1							871125644	Richard Myers, HAIB	003671b1058149cc2c347dd76cf0d507	https://www.encodeproject.org/files/ENCFF000NSN/@@download/ENCFF000NSN.bam	hg19			released		biological replicates with identical biosample		
ENCFF000OGJ	bam	alignments	ENCSR000BQT	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					TCF3-human	ENCAB000ALU	DNA		see document	see document		2012-02-29	ENCODE		see document			1	1							773413928	Richard Myers, HAIB	0f0cae2bba5e566c9835e745abc080c3	https://www.encodeproject.org/files/ENCFF000OGJ/@@download/ENCFF000OGJ.bam	hg19			released		biological replicates with identical biosample		
ENCFF000OGM	bam	alignments	ENCSR000BQT	ChIP-seq	EFO:0002784	GM12878	immortalized cell line	adult	female	Homo sapiens					TCF3-human	ENCAB000ALU	DNA		see document	see document		2012-02-29	ENCODE		see document			2	1							1385858410	Richard Myers, HAIB	f6c55e80781d9867d918c720217810f6	https://www.encodeproject.org/files/ENCFF000OGM/@@download/ENCFF000OGM.bam	hg19			released		biological replicates with identical biosample		
