File accession	Assay
ENCFF000IZE	RNA-seq
ENCFF000IZF	RNA-seq
ENCFF000WFL	ChIP-seq
ENCFF000WFM	ChIP-seq
ENCFF000ARG	ChIP-seq
ENCFF000ARI	ChIP-seq
ENCFF000NSJ	ChIP-seq
ENCFF000NSN	ChIP-seq
ENCFF000OGJ	ChIP-seq
ENCFF000OGM	ChIP-seq
ENCFF000ROM	ChIP-seq
ENCFF000RON	ChIP-seq
ENCFF000ROQ	ChIP-seq
ENCFF000VTR	ChIP-seq
ENCFF000VTS	ChIP-seq
ENCFF000WBH	ChIP-seq
ENCFF000WBI	ChIP-seq
ENCFF000WBJ	ChIP-seq
ENCFF000WBK	ChIP-seq
ENCFF000WBL	ChIP-seq
ENCFF000WBN	ChIP-seq
ENCFF000WBO	ChIP-seq
ENCFF000WDT	ChIP-seq
ENCFF000WDU	ChIP-seq
ENCFF000VUC	ChIP-seq
ENCFF000VUE	ChIP-seq
ENCFF000NTF	ChIP-seq
ENCFF000NTG	ChIP-seq
ENCFF000NYZ	ChIP-seq
ENCFF000NZF	ChIP-seq
ENCFF697KFO	single cell isolation followed by RNA-seq
ENCFF674BIH	single cell isolation followed by RNA-seq
ENCFF097LQR	single cell isolation followed by RNA-seq
ENCFF975FMX	single cell isolation followed by RNA-seq
ENCFF376RGA	single cell isolation followed by RNA-seq
ENCFF934ISZ	single cell isolation followed by RNA-seq
ENCFF048WVG	single cell isolation followed by RNA-seq
ENCFF780TSB	single cell isolation followed by RNA-seq
ENCFF098RUL	single cell isolation followed by RNA-seq
ENCFF231VBP	single cell isolation followed by RNA-seq
ENCFF000OAO	ChIP-seq
ENCFF000OAR	ChIP-seq
ENCFF000VWX	ChIP-seq
ENCFF000VWY	ChIP-seq
ENCFF000VXL	ChIP-seq
ENCFF000VXM	ChIP-seq
ENCFF000OAG	ChIP-seq
ENCFF000OAJ	ChIP-seq
ENCFF001SJD	RNA-seq
ENCFF001SMA	RNA-seq
ENCFF260KWD	RNA-seq
ENCFF678NQJ	RNA-seq
ENCFF601VBE	RNA-seq
ENCFF733XGL	RNA-seq
ENCFF000VVM	ChIP-seq
ENCFF000VVO	ChIP-seq
ENCFF001RWK	RNA-seq
ENCFF001RWJ	RNA-seq
ENCFF001RZE	RNA-seq
ENCFF001RZF	RNA-seq
ENCFF001SCZ	RNA-seq
ENCFF001SCR	RNA-seq
ENCFF697FDQ	RNA-seq
ENCFF865GFG	RNA-seq
ENCFF439LIW	RNA-seq
ENCFF564GKK	RNA-seq
ENCFF898DZV	RNA-seq
ENCFF842TJL	RNA-seq
ENCFF893HSY	RNA-seq
ENCFF870FQP	RNA-seq
ENCFF377UIC	RNA-seq
ENCFF106KER	RNA-seq
ENCFF000OFT	ChIP-seq
ENCFF000OFW	ChIP-seq
ENCFF000ODH	ChIP-seq
ENCFF000OFD	ChIP-seq
ENCFF000OFG	ChIP-seq
ENCFF000VYR	ChIP-seq
ENCFF000VYY	ChIP-seq
ENCFF000WED	ChIP-seq
ENCFF000WEK	ChIP-seq
ENCFF000NUS	ChIP-seq
ENCFF000NUT	ChIP-seq
ENCFF001GNZ	Repli-seq
ENCFF000RQP	ChIP-seq
ENCFF000RQQ	ChIP-seq
ENCFF000WCZ	ChIP-seq
ENCFF000WDA	ChIP-seq
ENCFF000OCL	ChIP-seq
ENCFF000OCM	ChIP-seq
ENCFF000OCN	ChIP-seq
ENCFF000OCQ	ChIP-seq
